Ñòîëáåö1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15;Column16;Column17;Column18;Column19;Column20;Column21;Column22;Column23;Column24;Column25;Column26;Column27;Column28;Column29;Column30;Column31;Column32;Column33;Column34;Column35;Column36;Column37;Column38;Column39;Column40;Column41;Column42;Column43;Column44;Column45;Column46;Column47;Column48;Column49;Column50;Column51;Column52
Benin;Yes [UNAIDS National Commitments and Policy Instrument 2022];;;;Yes [Benin. Penal Code 2018 (https://assemblee-nationale.bj/wp-content/uploads/2020/03/le-nouveau-code-penal-2018.pdf).;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
];Yes [UNAIDS National Commitments and Policy Instrument 2022];;;;;;;;;;;Yes [UNAIDS National Commitments and Policy Instrument 2017];;Yes [UNAIDS National Commitments and Policy Instrument 2019];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bhutan;Yes [UNAIDS National Commitments and Policy Instrument 2021];;;;;;;;;;;;;;Yes [UNAIDS National Commitments and Policy Instrument 2021];;;;;Yes [UNAIDS National Commitments and Policy Instrument 2021];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bolivia (Plurinational State of);No [UNAIDS National Commitments and Policy Instrument 2019];;;;;;;;;;;;;;;;;;;;;Yes [UNAIDS National Commitments and Policy Instrument 2017];;;;;;;;;;;;;;;;;;;;;;Yes [UNAIDS National Commitments and Policy Instrument 2019];;;;;;;
Bosnia and Herzegovina;Yes [Bosnia and Herzegovina. The Criminal Code of Bosnia and Herzegovina (https://rm.coe.int/bih-criminal-code-consolidated-text/16806415c8)];;;;Yes [Bosnia and Herzegovina. The Criminal Code of Bosnia and Herzegovina (https://rm.coe.int/bih-criminal-code-consolidated-text/16806415c8)];;;;;;;;;;;;;;;;;;"Yes [Sexual Rights Initiative database [database]. Sexual Rights Initiative; c2016 (http://sexualrightsdatabase.org/map/21/Adult%20sex%20work).]";;;;;;;;;;;;;;;;;;;;;;;;;;;;
Botswana;Yes [UNAIDS National Commitments and Policy Instrument 2021];;;Yes [UNAIDS National Commitments and Policy Instrument 2019];Yes [UNAIDS National Commitments and Policy Instrument 2021];;;;;;;;;;;;;;;;;Yes [UNAIDS National Commitments and Policy Instrument 2017];;;;;;;Yes [UNAIDS National Commitments and Policy Instrument 2019];Yes [UNAIDS National Commitments and Policy Instrument 2021];;;;Yes [UNAIDS National Commitments and Policy Instrument 2019];Yes [UNAIDS National Commitments and Policy Instrument 2021];;;;;;;;;;;;;;;;
Brazil;Yes [UNAIDS National Commitments and Policy Instrument 2022];;;Yes [UNAIDS National Commitments and Policy Instrument 2019];Yes [UNAIDS National Commitments and Policy Instrument 2021];Yes [UNAIDS National Commitments and Policy Instrument 2022];;;;;;;;;;;;;;;;;;;;;;;Yes [UNAIDS National Commitments and Policy Instrument 2019];Yes [UNAIDS National Commitments and Policy Instrument 2021];Yes [UNAIDS National Commitments and Policy Instrument 2022];;;;;Yes [UNAIDS National Commitments and Policy Instrument 2022];Yes [UNAIDS National Commitments and Policy Instrument 2017];;;;;;;Yes [UNAIDS National Commitments and Policy Instrument 2019];;;;;;;
Brunei Darussalam;"Yes [Brunei Darussalam. Penal Code, Articles 294A (https://www.wipo.int/edocs/lexdocs/laws/en/bn/bn024en.pdf); Women and Girls Protection Act (https://
www.agc.gov.bn/AGC%20Images/LOB/PDF/Chp.120.pdf). ]";;;;;"Yes [Brunei Darussalam. Penal Code, Articles 294A (https://www.wipo.int/edocs/lexdocs/laws/en/bn/bn024en.pdf); Women and Girls Protection Act (https://
www.agc.gov.bn/AGC%20Images/LOB/PDF/Chp.120.pdf). ]";;;;;;;;;Yes [Brunei Darussalam. Penal Code 1951 (2016 edition). Prostitution, S 26/2012, section 294A (https://www.ilo.org/dyn/natlex/docs/ELECTRONIC/78238/83493/F1602044948/BRN78238%202016%20Edition.pdf)];;;;;Yes [Brunei Darussalam. Penal Code 1951 (2016 edition). Prostitution, S 26/2012, section 294A (https://www.ilo.org/dyn/natlex/docs/ELECTRONIC/78238/83493/F1602044948/BRN78238%202016%20Edition.pdf)];"Yes [Brunei Darussalam. Penal Code, Articles 294A (https://www.wipo.int/edocs/lexdocs/laws/en/bn/bn024en.pdf); Women and Girls Protection Act (https://
www.agc.gov.bn/AGC%20Images/LOB/PDF/Chp.120.pdf). ]";;;;;;;;;Yes [Brunei Darussalam. Penal Code 1951 (2016 edition). Prostitution, S 26/2012, section 294A (https://www.ilo.org/dyn/natlex/docs/ELECTRONIC/78238/83493/F1602044948/BRN78238%202016%20Edition.pdf)];"Yes [Brunei Darussalam. Penal Code, Articles 294A (https://www.wipo.int/edocs/lexdocs/laws/en/bn/bn024en.pdf); Women and Girls Protection Act (https://
www.agc.gov.bn/AGC%20Images/LOB/PDF/Chp.120.pdf). ]";;;;;;;;;;;;;;;;;;;;
Bulgaria;Yes [https://documentation.lastradainternational.org/lsidocs/3048-EU-prostitution-laws.pdf];;;;;Yes [3048-EU-prostitution-laws.pdf (lastradainternational.org)];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Burkina Faso;"Yes [Burkina Faso. Loi no. 025-2018, Article 533-20 (https://www.refworld.org/docid/3ae6b5cc0.html); Burkina Faso. Penal Code 2019, Article 533-20.]";;;Yes [UNAIDS National Commitments and Policy Instrument 2019];;"Yes [Burkina Faso. Loi no. 025-2018, Article 533-20 (https://www.refworld.org/docid/3ae6b5cc0.html); Burkina Faso. Penal Code 2019, Article 533-20.]";;"Yes [Sexual Rights Initiative database [database]. Sexual Rights Initiative; c2016 (http://sexualrightsdatabase.org/map/21/Adult%20sex%20work).]";;;;;;Yes [Burkina Faso. Penal Code 2019, Article 533-20];;"Yes [Burkina Faso. Loi no. 025-2018, Article 533-20 (https://www.refworld.org/docid/3ae6b5cc0.html); Burkina Faso. Penal Code 2019, Article 533-20.]";;;Yes [Burkina Faso. Loi no. 025-2018, article 533-20 (https://www.refworld.org/docid/3ae6b5cc0.html)];;"Yes [Burkina Faso. Loi no. 025-2018, Article 533-20 (https://www.refworld.org/docid/3ae6b5cc0.html); Burkina Faso. Penal Code 2019, Article 533-20.]";;;;;;;;Yes [Burkina Faso. Loi no. 025-2018, article 533-20 (https://www.refworld.org/docid/3ae6b5cc0.html)];;"Yes [Burkina Faso. Loi no. 025-2018, Article 533-20 (https://www.refworld.org/docid/3ae6b5cc0.html); Burkina Faso. Penal Code 2019, Article 533-20.]";;;Yes [Burkina Faso. Loi no. 025-2018, article 533-20 (https://www.refworld.org/docid/3ae6b5cc0.html)];;"Yes [Burkina Faso. Loi no. 025-2018, Article 533-20 (https://www.refworld.org/docid/3ae6b5cc0.html); Burkina Faso. Penal Code 2019, Article 533-20.]";;;;;"Yes [Burkina Faso. Loi no. 025-2018, Article 533-20 (https://www.refworld.org/docid/3ae6b5cc0.html); Burkina Faso. Penal Code 2019, Article 533-20.]";;;;;;;;;;
